,,,,,,new commands,changed commands,
,Command,Cmd,Arguments,Meaning,Usage,Example,Notes,Default
,:,,,command terminator/separator,"All commands must end with "":"" when sent to the device. When multiple commands are combined into one string, use "":"" between each command.",,,
,:::,,,attention,"Because the interupts could be disabled due to the LED display being updated, get device's attention by sending some empty commands",:::pause:red:blink:continue,,
,"n,n,n",,,"Any unrecognized command is stored in a bufer, and is split on "","" into up to three integer arguments",for pre-loading arguments for commands that accept arguments,"pause:50,255,255:hslcolor:continue","each value is a short int in the range -32,767 to +32,767

the default is zero for each argument",
,,,,,,,,
,OVERALL CONTROL,,,,,,,
,pause,pau,,Temporarily halt updating the display,"This should be used before any significant sequence of commands. The LED display driver disables interupts when writing to the display because it needs perfect timing, and this can cause incoming chars to be lost.",pause:erase:continue,,
,continue,cnt,,Resume updating the display,This should be used after updating the buffer to resume processing and displaying effects,,,
,clear,clr,,Erase all displays and reset all internal states,Sets the device to a known state prior to starting a new program,pause:clear:continue,,
,level,lev,(brightness percent),Sets the brightness percent for all displays,Set all displays to the same relative brightness level,pause:50:level:continue,"if (brightess percent) is zero, the brightness is either set to a fixed default or an auto-brightness level depending on configuration",default/auto
,lopower,lop,,Sets the device to a configuration-specific low-power mode,Used to save power or reduce distraction,pause:lopower:continue,,off
,hipower,hip,,Returns the device to normal mode after being set to low-power mode,Used to restore normal operation after using low-power mode,pause:hipower:continue,,on
,display,dis,(active display),Specifies which display to write to in a multiple-display configuration,Allows having multiple simultaneous independent displays,pause:1:display:red:flood:0:display:blue:flood:continue,"if (display to write) to is less than zero, display zero is set",0
,demo,dem,,Performs a demonstration animation,"Shows a pretty effect, similar to the one shown on start up",pause:demo:continue,,
,DISPLAY CONTROL,,,,,,,
,reset,rst,,Reset internal effects and visual states,Sets the brightness level to the default; zone to zero; display to zero; reverse to false; resets all live effects,pause:reset:continue,,
,erase,era,,Clear the display,Use to set all LEDs to off,,,
,flush,flu,,Force the LED display to be updated,"Updates the display from the internal buffer. Useful when paused, or if wanting an immediate update after continuing",pause:red:blink:flush:continue,,
,zone,zon,(active zone),Specifies which zones within a display to write to in a multiple-zone configuration,Allows a physical display to be segmented into multiple virtual displays; especially useful for displays with varying numbers of LEDs such as the 93-LED disc,pause:1:zone:red:flood:2:zone:blue:flood:continue,"zone #0 is always the entire physical display

if (zone to write to) is less than zero, zone zero is set",0
,offset,off,(starting position),Specifies the starting LED position for operations,"Used to restrict operations to start at a particular LED position
",pause:5:offset:red:flood:continue,"the zone command is a shortcut for setting offset and window

if (starting position) is less than zero, zero is set",0
,window,win,(maximum position),Specifies the upper limit of LED operations,Used to preserve set colors further down the strip,pause:7:window:red:flood:continue,"the maximum position set is one positiion past the maximum operational position

if (maximum position) is less than one, one is set",physical LED count
,reverse,rev,(direction),Specifies forward or reverse version for LED operations,"Used to perform LED operations in either duration

""0"" = ""forward"", ""1"" = ""reverse""",pause:1:reverse:red:blue:green:continue,"if (direction) is ""1"", the direction is reversed

any other value of (direction) means forward",zero (forward direction)
,,,,,,,,
,BUFFER OPERATIONS,,,,,,,
